+ virbr0 IPv4 me [ea:b0:af:b4:48:35]                        Workstation          local
+  wlan0 IPv4 gateway-2 [c8:1f:66:ba:86:70]                 Workstation          local
+  wlan0 IPv6 ibmnode1 [00:21:5e:99:95:34]                  Workstation          local
+  wlan0 IPv6 anjana-desktop [e8:40:f2:0b:11:8c]            Workstation          local
+  wlan0 IPv6 pclab-26 [10:bf:48:73:18:46]                  Workstation          local
+  wlan0 IPv6 onkar [4c:0f:6e:e6:68:01]                     Workstation          local
+  wlan0 IPv6 boss [1c:75:08:52:e3:20]                      Workstation          local
+  wlan0 IPv6 ibmnode2 [00:21:5e:99:98:34]                  Workstation          local
+  wlan0 IPv6 rudra-2 [34:17:eb:af:0a:8c]                   Workstation          local
+  wlan0 IPv6 saurabh [58:20:b1:3f:ca:1f]                   Workstation          local
+  wlan0 IPv6 dell-Inspiron-660s [a4:1f:72:61:3f:04]        Workstation          local
+  wlan0 IPv6 rlgw [44:a8:42:4a:65:a9]                      Workstation          local
+  wlan0 IPv6 pclab-49 [30:85:a9:47:37:a1]                  Workstation          local
+  wlan0 IPv6 insite [44:a8:42:0b:9a:38]                    Workstation          local
+  wlan0 IPv4 kartik-HCL-Desktop [70:71:bc:9c:6b:59]        Workstation          local
+  wlan0 IPv4 ibmnode1 [00:21:5e:99:95:34]                  Workstation          local
+  wlan0 IPv6 jiten-2 [b4:b5:2f:ca:64:ad]                   Workstation          local
+  wlan0 IPv6 mayank [a0:48:1c:0e:81:83]                    Workstation          local
+  wlan0 IPv6 network [00:15:17:f4:5e:15]                   Workstation          local
+  wlan0 IPv6 csy-Lenovo-H30-50 [c0:3f:d5:e2:6b:f1]         Workstation          local
+  wlan0 IPv6 pclab-07 [70:71:bc:9c:6b:42]                  Workstation          local
+  wlan0 IPv6 rudra [f8:b1:56:dd:7a:4f]                     Workstation          local
+  wlan0 IPv6 pclab-48 [30:85:a9:46:f3:73]                  Workstation          local
+  wlan0 IPv6 kartik [98:90:96:b2:8b:52]                    Workstation          local
+  wlan0 IPv6 pclab-08 [70:71:bc:9c:6b:37]                  Workstation          local
+  wlan0 IPv6 pclab-09 [70:71:bc:9c:6c:56]                  Workstation          local
+  wlan0 IPv6 varun-Inspiron-3521 [80:56:f2:2b:e2:eb]       Workstation          local
+  wlan0 IPv6 faculty [00:15:17:f4:7e:00]                   Workstation          local
+  wlan0 IPv6 faria-Precision-T5600 [18:03:73:1f:c5:1f]     Workstation          local
+  wlan0 IPv6 nanu-ThinkCentre-Edge71 [8c:89:a5:71:1c:a9]   Workstation          local
+  wlan0 IPv6 pclab-30 [30:85:a9:47:3a:14]                  Workstation          local
+  wlan0 IPv6 pclab-47 [30:85:a9:47:39:e7]                  Workstation          local
+  wlan0 IPv6 pclab-19 [00:e0:1c:3c:24:44]                  Workstation          local
+  wlan0 IPv6 rudraa [38:60:77:29:dc:f3]                    Workstation          local
+  wlan0 IPv6 pathak-X550LD [10:c3:7b:8d:97:ac]             Workstation          local
